step,time,q1,q1d,q2,q2d,wrap_dist
137,6.850,-0.715654,5.455030,-0.002135,0.005808,5.970140
138,6.900,-0.433258,5.802449,-0.002397,0.021840,6.403434
139,6.950,-0.137097,5.998599,-0.002125,0.033206,6.709046
140,7.000,0.164753,6.027687,-0.001417,0.040801,6.722815
141,7.050,0.463891,5.893186,-0.000319,0.045297,6.473159
142,7.100,0.752630,5.619323,0.001028,0.043355,6.106211
143,7.150,1.024810,5.240972,0.002401,0.036932,5.652427
144,7.200,1.276181,4.797590,0.003642,0.028320,5.147567
145,7.250,1.504440,4.326113,0.004666,0.019385,4.625572
146,7.300,1.708980,3.856407,0.005443,0.011284,4.113929
147,7.350,1.890406,3.406969,0.005992,0.005020,3.629458
148,7.400,2.050033,2.987855,0.006364,0.000778,3.181010
149,7.450,2.189658,2.608705,0.006592,-0.002651,2.776972
150,7.500,2.311410,2.273639,0.006687,-0.005366,2.420478
151,7.550,2.417530,1.983382,0.006663,-0.007482,2.111438
152,7.600,2.510237,1.736610,0.006535,-0.009158,1.847850
153,7.650,2.591571,1.527785,0.006330,-0.009984,1.623820
154,7.700,2.663184,1.346934,0.006101,-0.009316,1.429416
155,7.750,2.726381,1.190273,0.005892,-0.008419,1.260657
156,7.800,2.782276,1.054050,0.005708,-0.007487,1.113651
157,7.850,2.831811,0.935051,0.005549,-0.006638,0.985068
158,7.900,2.875778,0.830578,0.005410,-0.005920,0.872114
159,7.950,2.914847,0.738426,0.005286,-0.005347,0.772492
160,8.000,2.949588,0.656811,0.005171,-0.004903,0.684338
161,8.050,2.980490,0.584299,0.005061,-0.004564,0.606140
162,8.100,3.007978,0.519725,0.004953,-0.004306,0.536666
163,8.150,3.032424,0.462133,0.004845,-0.004105,0.474894
164,8.200,3.054156,0.410721,0.004735,-0.003944,0.419970
165,8.250,3.073465,0.364810,0.004622,-0.003809,0.371166
166,8.300,3.090609,0.323812,0.004507,-0.003691,0.327853
167,8.350,3.105822,0.287211,0.004390,-0.003585,0.289486
168,8.400,3.119310,0.254552,0.004271,-0.003486,0.255585
169,8.450,3.131259,0.225422,0.004150,-0.003391,0.225722
170,8.500,3.141837,0.199457,0.004028,-0.003299,0.199525
171,8.550,3.151193,0.176327,0.003906,-0.003208,0.176660
172,8.600,3.159459,0.155731,0.003784,-0.003124,0.156829
173,8.650,3.166757,0.137399,0.003662,-0.003040,0.139766
174,8.700,3.173192,0.121089,0.003540,-0.002958,0.125229
175,8.750,3.178860,0.106580,0.003419,-0.002879,0.112996
176,8.800,3.183845,0.093674,0.003299,-0.002803,0.102854
177,8.850,3.188223,0.082194,0.003181,-0.002730,0.094593
178,8.900,3.192061,0.071978,0.003063,-0.002659,0.088003
179,8.950,3.195419,0.062884,0.002948,-0.002592,0.082868
180,9.000,3.198348,0.054782,0.002833,-0.002528,0.078973
181,9.050,3.200895,0.047558,0.002720,-0.002467,0.076106
182,9.100,3.203102,0.041108,0.002609,-0.002409,0.074067
183,9.150,3.205005,0.035339,0.002499,-0.002355,0.072676
184,9.200,3.206636,0.030171,0.002391,-0.002304,0.071777
185,9.250,3.208022,0.025529,0.002284,-0.002256,0.071238
186,9.300,3.209189,0.021347,0.002178,-0.002211,0.070955
187,9.350,3.210157,0.017568,0.002074,-0.002170,0.070843
188,9.400,3.210946,0.014138,0.001971,-0.002132,0.070840
189,9.450,3.211572,0.011011,0.001869,-0.002097,0.070896
190,9.500,3.212049,0.008146,0.001769,-0.002066,0.070977
191,9.550,3.212388,0.005504,0.001669,-0.002038,0.071058
192,9.600,3.212601,0.003052,0.001569,-0.002014,0.071119
193,9.650,3.212695,0.000760,0.001471,-0.001993,0.071150
194,9.700,3.212679,-0.001401,0.001373,-0.001975,0.071141
195,9.750,3.212557,-0.003454,0.001275,-0.001961,0.071087
196,9.800,3.212336,-0.005422,0.001178,-0.001951,0.070987
197,9.850,3.212018,-0.007326,0.001080,-0.001945,0.070841
198,9.900,3.211607,-0.009184,0.000982,-0.001942,0.070648
199,9.950,3.211104,-0.011015,0.000884,-0.001944,0.070411
200,10.000,3.210509,-0.012835,0.000786,-0.001949,0.070133
201,10.050,3.209824,-0.014658,0.000687,-0.001959,0.069819
202,10.100,3.209048,-0.016500,0.000586,-0.001974,0.069475
203,10.150,3.208179,-0.018374,0.000485,-0.001993,0.069106
204,10.200,3.207216,-0.020293,0.000382,-0.002017,0.068720
205,10.250,3.206156,-0.022271,0.000277,-0.002046,0.068328
206,10.300,3.204996,-0.024319,0.000170,-0.002081,0.067939
207,10.350,3.203731,-0.026450,0.000062,-0.002121,0.067567
208,10.400,3.202358,-0.028677,-0.000050,-0.002167,0.067227
209,10.450,3.200872,-0.031011,-0.000164,-0.002219,0.066938
210,10.500,3.199266,-0.033466,-0.000282,-0.002278,0.066719
211,10.550,3.197534,-0.036054,-0.000403,-0.002343,0.066596
212,10.600,3.195671,-0.038788,-0.000528,-0.002416,0.066596
213,10.650,3.193667,-0.041683,-0.000658,-0.002497,0.066752
214,10.700,3.191514,-0.044750,-0.000792,-0.002585,0.067097
215,10.750,3.189204,-0.048007,-0.000932,-0.002682,0.067672
216,10.800,3.186727,-0.051467,-0.001077,-0.002789,0.068519
217,10.850,3.184072,-0.055147,-0.001228,-0.002904,0.069682
218,10.900,3.181228,-0.059063,-0.001387,-0.003030,0.071207
219,10.950,3.178182,-0.063234,-0.001552,-0.003167,0.073142
220,11.000,3.174922,-0.067678,-0.001725,-0.003315,0.075532
221,11.050,3.171433,-0.072415,-0.001907,-0.003475,0.078423
222,11.100,3.167701,-0.077468,-0.002099,-0.003649,0.081858
223,11.150,3.163708,-0.082859,-0.002300,-0.003835,0.085877
224,11.200,3.159438,-0.088613,-0.002512,-0.004037,0.090517
225,11.250,3.154872,-0.094757,-0.002735,-0.004253,0.095816
226,11.300,3.149989,-0.101318,-0.002971,-0.004486,0.101808
227,11.350,3.144768,-0.108329,-0.003220,-0.004736,0.108526
228,11.400,3.139186,-0.115821,-0.003484,-0.005004,0.116007
229,11.450,3.133218,-0.123833,-0.003762,-0.005291,0.124286
230,11.500,3.126837,-0.132404,-0.004057,-0.005599,0.133403
231,11.550,3.120015,-0.141579,-0.004370,-0.005927,0.143403
232,11.600,3.112719,-0.151405,-0.004701,-0.006279,0.154333
233,11.650,3.104916,-0.161936,-0.005053,-0.006654,0.166248
234,11.700,3.096570,-0.173234,-0.005425,-0.007053,0.179210
235,11.750,3.087640,-0.185364,-0.005821,-0.007479,0.193289
236,11.800,3.078083,-0.198405,-0.006241,-0.007931,0.208566
237,11.850,3.067852,-0.212441,-0.006686,-0.008411,0.225131
238,11.900,3.056895,-0.227572,-0.007159,-0.008920,0.243092
239,11.950,3.045154,-0.243913,-0.007661,-0.009458,0.262568
240,12.000,3.032566,-0.261596,-0.008194,-0.010025,0.283702
241,12.050,3.019060,-0.280776,-0.008759,-0.010621,0.306658
242,12.100,3.004556,-0.301637,-0.009359,-0.011245,0.331630
243,12.150,2.988966,-0.324398,-0.009994,-0.011897,0.358845
244,12.200,2.972189,-0.349319,-0.010667,-0.012570,0.388579
245,12.250,2.954109,-0.376719,-0.011378,-0.013258,0.421156
246,12.300,2.934593,-0.406983,-0.012130,-0.013957,0.456975
247,12.350,2.913485,-0.440586,-0.012922,-0.014651,0.496519
248,12.400,2.890607,-0.478092,-0.013757,-0.015371,0.540362
249,12.450,2.865811,-0.517558,-0.014710,-0.019144,0.586945
250,12.500,2.838797,-0.567145,-0.015830,-0.021819,0.643479
251,12.550,2.808901,-0.633240,-0.017072,-0.023573,0.715908
252,12.600,2.775268,-0.717130,-0.018418,-0.025412,0.805887
253,12.650,2.736957,-0.821077,-0.019864,-0.026912,0.915978
254,12.700,2.692897,-0.947838,-0.021382,-0.027432,1.049255
255,12.750,2.641865,-1.100927,-0.022890,-0.025423,1.209519
256,12.800,2.582444,-1.284454,-0.024213,-0.018700,1.401216
257,12.850,2.513023,-1.502159,-0.025103,-0.006618,1.628574
258,12.900,2.431814,-1.757189,-0.025319,0.009892,1.895320
259,12.950,2.336899,-2.051489,-0.024716,0.027637,2.203977
260,13.000,2.225506,-2.417141,-0.023171,0.048833,2.585480
261,13.050,2.093992,-2.856497,-0.020718,0.064395,3.043291
262,13.100,1.936823,-3.442383,-0.016595,0.114694,3.648959
263,13.150,1.749749,-4.049307,-0.011521,0.097989,4.282973
264,13.200,1.531587,-4.679449,-0.007036,0.083564,4.949384
265,13.250,1.281984,-5.297112,-0.003106,0.064706,5.614422
266,13.300,1.002502,-5.861853,0.000134,0.042423,6.240099
267,13.350,0.696921,-6.327218,0.002555,0.018047,6.783099
268,13.400,0.371387,-6.647883,0.004070,-0.004907,7.201974
269,13.450,0.034126,-6.789211,0.004703,-0.022800,7.466610
270,13.500,-0.305366,-6.737121,0.004585,-0.033371,7.309864
271,13.550,-0.637528,-6.503090,0.003932,-0.036326,6.968634
272,13.600,-0.953989,-6.121056,0.002982,-0.033239,6.500312
273,13.650,-1.248469,-5.637804,0.001936,-0.026892,5.947224
274,13.700,-1.517147,-5.101923,0.000920,-0.019851,5.354329
275,13.750,-1.758501,-4.555270,-0.000012,-0.013775,4.760632
276,13.800,-1.972844,-4.028763,-0.000852,-0.009366,4.194877
277,13.850,-2.161743,-3.541878,-0.001618,-0.006675,3.674922
278,13.900,-2.327473,-3.104171,-0.002337,-0.005423,3.209160
279,13.950,-2.472574,-2.717286,-0.003033,-0.005213,2.798440
280,14.000,-2.599499,-2.376716,-0.003721,-0.005548,2.437763
281,14.050,-2.710364,-2.073798,-0.004398,-0.005812,2.118171
282,14.100,-2.806818,-1.798943,-0.005040,-0.005538,1.829844
283,14.150,-2.890103,-1.545416,-0.005618,-0.004809,1.565763
284,14.200,-2.961226,-1.310810,-0.006118,-0.004037,1.323181
285,14.250,-3.021390,-1.105463,-0.006494,-0.001438,1.111998
286,14.300,-3.072137,-0.932669,-0.006695,0.001613,0.935277
287,14.350,-3.114948,-0.786815,-0.006743,0.003461,0.787303
